initializeActionGrid1, size=10, steps=20, fName=output_grid1_10_20_seq.txt
step 0: 58 cooperates, 42 defects
step 1: 64 cooperates, 36 defects
step 2: 68 cooperates, 32 defects
step 3: 70 cooperates, 30 defects
step 4: 70 cooperates, 30 defects
step 5: 70 cooperates, 30 defects
step 6: 70 cooperates, 30 defects
step 7: 70 cooperates, 30 defects
step 8: 70 cooperates, 30 defects
step 9: 70 cooperates, 30 defects
step 10: 70 cooperates, 30 defects
step 11: 70 cooperates, 30 defects
step 12: 70 cooperates, 30 defects
step 13: 70 cooperates, 30 defects
step 14: 70 cooperates, 30 defects
step 15: 70 cooperates, 30 defects
step 16: 70 cooperates, 30 defects
step 17: 70 cooperates, 30 defects
step 18: 70 cooperates, 30 defects
step 19: 70 cooperates, 30 defects
initializeActionGrid2, size=10, steps=20, fName=output_grid2_10_20_seq.txt
step 0: 72 cooperates, 28 defects
step 1: 61 cooperates, 39 defects
step 2: 52 cooperates, 48 defects
step 3: 44 cooperates, 56 defects
step 4: 36 cooperates, 64 defects
step 5: 29 cooperates, 71 defects
step 6: 23 cooperates, 77 defects
step 7: 19 cooperates, 81 defects
step 8: 17 cooperates, 83 defects
step 9: 15 cooperates, 85 defects
step 10: 16 cooperates, 84 defects
step 11: 12 cooperates, 88 defects
step 12: 7 cooperates, 93 defects
step 13: 6 cooperates, 94 defects
step 14: 2 cooperates, 98 defects
step 15: 0 cooperates, 100 defects
step 16: 0 cooperates, 100 defects
step 17: 0 cooperates, 100 defects
step 18: 0 cooperates, 100 defects
step 19: 0 cooperates, 100 defects
initializeActionGrid3, size=10, steps=20, fName=output_grid3_10_20_seq.txt
step 0: 95 cooperates, 5 defects
step 1: 87 cooperates, 13 defects
step 2: 75 cooperates, 25 defects
step 3: 61 cooperates, 39 defects
step 4: 47 cooperates, 53 defects
step 5: 37 cooperates, 63 defects
step 6: 32 cooperates, 68 defects
step 7: 23 cooperates, 77 defects
step 8: 17 cooperates, 83 defects
step 9: 12 cooperates, 88 defects
step 10: 12 cooperates, 88 defects
step 11: 12 cooperates, 88 defects
step 12: 12 cooperates, 88 defects
step 13: 12 cooperates, 88 defects
step 14: 12 cooperates, 88 defects
step 15: 12 cooperates, 88 defects
step 16: 12 cooperates, 88 defects
step 17: 12 cooperates, 88 defects
step 18: 12 cooperates, 88 defects
step 19: 12 cooperates, 88 defects
initializeActionGrid4, size=10, steps=20, fName=output_grid4_10_20_seq.txt
step 0: 95 cooperates, 5 defects
step 1: 89 cooperates, 11 defects
step 2: 83 cooperates, 17 defects
step 3: 76 cooperates, 24 defects
step 4: 68 cooperates, 32 defects
step 5: 59 cooperates, 41 defects
step 6: 49 cooperates, 51 defects
step 7: 38 cooperates, 62 defects
step 8: 28 cooperates, 72 defects
step 9: 21 cooperates, 79 defects
step 10: 15 cooperates, 85 defects
step 11: 10 cooperates, 90 defects
step 12: 6 cooperates, 94 defects
step 13: 3 cooperates, 97 defects
step 14: 1 cooperates, 99 defects
step 15: 0 cooperates, 100 defects
step 16: 0 cooperates, 100 defects
step 17: 0 cooperates, 100 defects
step 18: 0 cooperates, 100 defects
step 19: 0 cooperates, 100 defects
